instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category,day_name
29,2011-01-02,Musim Semi,0,1,4,0,0,Hari Libur,Berawan,0.46,0.4545,0.94,0.194,2,1,3,Malam,Minggu
30,2011-01-02,Musim Semi,0,1,6,0,0,Hari Libur,Hujan ringan,0.42,0.4242,0.77,0.2985,0,2,2,Pagi,Minggu
31,2011-01-02,Musim Semi,0,1,7,0,0,Hari Libur,Berawan,0.4,0.4091,0.76,0.194,0,1,1,Pagi,Minggu
32,2011-01-02,Musim Semi,0,1,8,0,0,Hari Libur,Hujan ringan,0.4,0.4091,0.71,0.2239,0,8,8,Pagi,Minggu
33,2011-01-02,Musim Semi,0,1,9,0,0,Hari Libur,Berawan,0.38,0.3939,0.76,0.2239,1,19,20,Pagi,Minggu
34,2011-01-02,Musim Semi,0,1,10,0,0,Hari Libur,Berawan,0.36,0.3485,0.81,0.2239,7,46,53,Pagi,Minggu
35,2011-01-02,Musim Semi,0,1,11,0,0,Hari Libur,Berawan,0.36,0.3333,0.71,0.2537,16,54,70,Pagi,Minggu
36,2011-01-02,Musim Semi,0,1,12,0,0,Hari Libur,Berawan,0.36,0.3333,0.66,0.2985,20,73,93,Siang,Minggu
37,2011-01-02,Musim Semi,0,1,13,0,0,Hari Libur,Berawan,0.36,0.3485,0.66,0.1343,11,64,75,Siang,Minggu
38,2011-01-02,Musim Semi,0,1,14,0,0,Hari Libur,Hujan ringan,0.36,0.3485,0.76,0.194,4,55,59,Siang,Minggu
39,2011-01-02,Musim Semi,0,1,15,0,0,Hari Libur,Hujan ringan,0.34,0.3333,0.81,0.1642,19,55,74,Siang,Minggu
40,2011-01-02,Musim Semi,0,1,16,0,0,Hari Libur,Hujan ringan,0.34,0.3333,0.71,0.1642,9,67,76,Siang,Minggu
41,2011-01-02,Musim Semi,0,1,17,0,0,Hari Libur,Cerah,0.34,0.3333,0.57,0.194,7,58,65,Sore,Minggu
42,2011-01-02,Musim Semi,0,1,18,0,0,Hari Libur,Berawan,0.36,0.3333,0.46,0.3284,10,43,53,Sore,Minggu
43,2011-01-02,Musim Semi,0,1,19,0,0,Hari Libur,Cerah,0.32,0.2879,0.42,0.4478,1,29,30,Sore,Minggu
44,2011-01-02,Musim Semi,0,1,20,0,0,Hari Libur,Cerah,0.3,0.2727,0.39,0.3582,5,17,22,Sore,Minggu
45,2011-01-02,Musim Semi,0,1,21,0,0,Hari Libur,Cerah,0.26,0.2273,0.44,0.3284,11,20,31,Malam,Minggu
46,2011-01-02,Musim Semi,0,1,22,0,0,Hari Libur,Cerah,0.24,0.2121,0.44,0.2985,0,9,9,Malam,Minggu
47,2011-01-02,Musim Semi,0,1,23,0,0,Hari Libur,Cerah,0.22,0.2273,0.47,0.1642,0,8,8,Malam,Minggu
48,2011-01-03,Musim Semi,0,1,0,0,1,Hari Kerja,Cerah,0.22,0.197,0.44,0.3582,0,5,5,Malam,Senin
49,2011-01-03,Musim Semi,0,1,1,0,1,Hari Kerja,Cerah,0.2,0.1667,0.44,0.4179,0,2,2,Malam,Senin
50,2011-01-03,Musim Semi,0,1,4,0,1,Hari Kerja,Cerah,0.16,0.1364,0.47,0.3881,0,1,1,Malam,Senin
51,2011-01-03,Musim Semi,0,1,5,0,1,Hari Kerja,Cerah,0.16,0.1364,0.47,0.2836,0,3,3,Pagi,Senin
52,2011-01-03,Musim Semi,0,1,6,0,1,Hari Kerja,Cerah,0.14,0.1061,0.5,0.3881,0,30,30,Pagi,Senin
53,2011-01-03,Musim Semi,0,1,7,0,1,Hari Kerja,Cerah,0.14,0.1364,0.5,0.194,1,63,64,Pagi,Senin
54,2011-01-03,Musim Semi,0,1,8,0,1,Hari Kerja,Cerah,0.14,0.1212,0.5,0.2836,1,153,154,Pagi,Senin
55,2011-01-03,Musim Semi,0,1,9,0,1,Hari Kerja,Cerah,0.16,0.1364,0.43,0.3881,7,81,88,Pagi,Senin
56,2011-01-03,Musim Semi,0,1,10,0,1,Hari Kerja,Cerah,0.18,0.1667,0.43,0.2537,11,33,44,Pagi,Senin
57,2011-01-03,Musim Semi,0,1,11,0,1,Hari Kerja,Cerah,0.2,0.1818,0.4,0.3284,10,41,51,Pagi,Senin
58,2011-01-03,Musim Semi,0,1,12,0,1,Hari Kerja,Cerah,0.22,0.2121,0.35,0.2985,13,48,61,Siang,Senin
59,2011-01-03,Musim Semi,0,1,13,0,1,Hari Kerja,Cerah,0.24,0.2121,0.35,0.2836,8,53,61,Siang,Senin
60,2011-01-03,Musim Semi,0,1,14,0,1,Hari Kerja,Cerah,0.26,0.2424,0.3,0.2836,11,66,77,Siang,Senin
61,2011-01-03,Musim Semi,0,1,15,0,1,Hari Kerja,Cerah,0.26,0.2424,0.3,0.2537,14,58,72,Siang,Senin
62,2011-01-03,Musim Semi,0,1,16,0,1,Hari Kerja,Cerah,0.26,0.2424,0.3,0.2537,9,67,76,Siang,Senin
63,2011-01-03,Musim Semi,0,1,17,0,1,Hari Kerja,Cerah,0.24,0.2273,0.3,0.2239,11,146,157,Sore,Senin
64,2011-01-03,Musim Semi,0,1,18,0,1,Hari Kerja,Cerah,0.24,0.2576,0.32,0.1045,9,148,157,Sore,Senin
65,2011-01-03,Musim Semi,0,1,19,0,1,Hari Kerja,Cerah,0.2,0.2576,0.47,0.0,8,102,110,Sore,Senin
66,2011-01-03,Musim Semi,0,1,20,0,1,Hari Kerja,Cerah,0.2,0.2273,0.47,0.1045,3,49,52,Sore,Senin
67,2011-01-03,Musim Semi,0,1,21,0,1,Hari Kerja,Cerah,0.18,0.197,0.64,0.1343,3,49,52,Malam,Senin
68,2011-01-03,Musim Semi,0,1,22,0,1,Hari Kerja,Cerah,0.14,0.1515,0.69,0.1343,0,20,20,Malam,Senin
69,2011-01-03,Musim Semi,0,1,23,0,1,Hari Kerja,Cerah,0.18,0.2121,0.55,0.1045,1,11,12,Malam,Senin
70,2011-01-04,Musim Semi,0,1,0,0,2,Hari Kerja,Cerah,0.16,0.1818,0.55,0.1045,0,5,5,Malam,Selasa
71,2011-01-04,Musim Semi,0,1,1,0,2,Hari Kerja,Cerah,0.16,0.1818,0.59,0.1045,0,2,2,Malam,Selasa
72,2011-01-04,Musim Semi,0,1,2,0,2,Hari Kerja,Cerah,0.14,0.1515,0.63,0.1343,0,1,1,Malam,Selasa
73,2011-01-04,Musim Semi,0,1,4,0,2,Hari Kerja,Cerah,0.14,0.1818,0.63,0.0896,0,2,2,Malam,Selasa
74,2011-01-04,Musim Semi,0,1,5,0,2,Hari Kerja,Cerah,0.12,0.1515,0.68,0.1045,0,4,4,Pagi,Selasa
75,2011-01-04,Musim Semi,0,1,6,0,2,Hari Kerja,Cerah,0.12,0.1515,0.74,0.1045,0,36,36,Pagi,Selasa
76,2011-01-04,Musim Semi,0,1,7,0,2,Hari Kerja,Cerah,0.12,0.1515,0.74,0.1343,2,92,94,Pagi,Selasa
77,2011-01-04,Musim Semi,0,1,8,0,2,Hari Kerja,Cerah,0.14,0.1515,0.69,0.1642,2,177,179,Pagi,Selasa
78,2011-01-04,Musim Semi,0,1,9,0,2,Hari Kerja,Cerah,0.16,0.1515,0.64,0.2239,2,98,100,Pagi,Selasa
79,2011-01-04,Musim Semi,0,1,10,0,2,Hari Kerja,Berawan,0.16,0.1364,0.69,0.3284,5,37,42,Pagi,Selasa
80,2011-01-04,Musim Semi,0,1,11,0,2,Hari Kerja,Cerah,0.22,0.2121,0.51,0.2985,7,50,57,Pagi,Selasa
81,2011-01-04,Musim Semi,0,1,12,0,2,Hari Kerja,Cerah,0.22,0.2273,0.51,0.1642,12,66,78,Siang,Selasa
82,2011-01-04,Musim Semi,0,1,13,0,2,Hari Kerja,Cerah,0.24,0.2273,0.56,0.194,18,79,97,Siang,Selasa
83,2011-01-04,Musim Semi,0,1,14,0,2,Hari Kerja,Cerah,0.26,0.2576,0.52,0.2239,9,54,63,Siang,Selasa
84,2011-01-04,Musim Semi,0,1,15,0,2,Hari Kerja,Cerah,0.28,0.2727,0.52,0.2537,17,48,65,Siang,Selasa
85,2011-01-04,Musim Semi,0,1,16,0,2,Hari Kerja,Cerah,0.3,0.2879,0.49,0.2537,15,68,83,Siang,Selasa
86,2011-01-04,Musim Semi,0,1,17,0,2,Hari Kerja,Cerah,0.28,0.2727,0.48,0.2239,10,202,212,Sore,Selasa
87,2011-01-04,Musim Semi,0,1,18,0,2,Hari Kerja,Cerah,0.26,0.2576,0.48,0.194,3,179,182,Sore,Selasa
88,2011-01-04,Musim Semi,0,1,19,0,2,Hari Kerja,Cerah,0.24,0.2576,0.48,0.1045,2,110,112,Sore,Selasa
89,2011-01-04,Musim Semi,0,1,20,0,2,Hari Kerja,Cerah,0.24,0.2576,0.48,0.1045,1,53,54,Sore,Selasa
90,2011-01-04,Musim Semi,0,1,21,0,2,Hari Kerja,Cerah,0.22,0.2727,0.64,0.0,0,48,48,Malam,Selasa
91,2011-01-04,Musim Semi,0,1,22,0,2,Hari Kerja,Cerah,0.22,0.2576,0.64,0.0896,1,34,35,Malam,Selasa
92,2011-01-04,Musim Semi,0,1,23,0,2,Hari Kerja,Cerah,0.2,0.2273,0.69,0.0896,2,9,11,Malam,Selasa
93,2011-01-05,Musim Semi,0,1,0,0,3,Hari Kerja,Cerah,0.2,0.2576,0.64,0.0,0,6,6,Malam,Rabu
94,2011-01-05,Musim Semi,0,1,1,0,3,Hari Kerja,Cerah,0.16,0.197,0.74,0.0896,0,6,6,Malam,Rabu
95,2011-01-05,Musim Semi,0,1,2,0,3,Hari Kerja,Cerah,0.16,0.197,0.74,0.0896,0,2,2,Malam,Rabu
96,2011-01-05,Musim Semi,0,1,4,0,3,Hari Kerja,Cerah,0.24,0.2273,0.48,0.2239,0,2,2,Malam,Rabu
97,2011-01-05,Musim Semi,0,1,5,0,3,Hari Kerja,Cerah,0.22,0.2273,0.47,0.1642,0,3,3,Pagi,Rabu
98,2011-01-05,Musim Semi,0,1,6,0,3,Hari Kerja,Cerah,0.2,0.197,0.47,0.2239,0,33,33,Pagi,Rabu
99,2011-01-05,Musim Semi,0,1,7,0,3,Hari Kerja,Cerah,0.18,0.1818,0.43,0.194,1,87,88,Pagi,Rabu
100,2011-01-05,Musim Semi,0,1,8,0,3,Hari Kerja,Cerah,0.2,0.1818,0.4,0.2985,3,192,195,Pagi,Rabu
101,2011-01-05,Musim Semi,0,1,9,0,3,Hari Kerja,Cerah,0.22,0.197,0.37,0.3284,6,109,115,Pagi,Rabu
102,2011-01-05,Musim Semi,0,1,10,0,3,Hari Kerja,Cerah,0.22,0.197,0.37,0.3284,4,53,57,Pagi,Rabu
103,2011-01-05,Musim Semi,0,1,11,0,3,Hari Kerja,Cerah,0.26,0.2273,0.33,0.3284,12,34,46,Pagi,Rabu
104,2011-01-05,Musim Semi,0,1,12,0,3,Hari Kerja,Cerah,0.26,0.2273,0.33,0.3284,5,74,79,Siang,Rabu
105,2011-01-05,Musim Semi,0,1,13,0,3,Hari Kerja,Cerah,0.28,0.2576,0.3,0.2985,6,65,71,Siang,Rabu
106,2011-01-05,Musim Semi,0,1,14,0,3,Hari Kerja,Cerah,0.3,0.2879,0.28,0.194,10,52,62,Siang,Rabu
107,2011-01-05,Musim Semi,0,1,15,0,3,Hari Kerja,Cerah,0.3,0.2879,0.28,0.194,7,55,62,Siang,Rabu
108,2011-01-05,Musim Semi,0,1,16,0,3,Hari Kerja,Cerah,0.3,0.3182,0.28,0.0896,4,85,89,Siang,Rabu
109,2011-01-05,Musim Semi,0,1,17,0,3,Hari Kerja,Cerah,0.24,0.2273,0.38,0.194,4,186,190,Sore,Rabu
110,2011-01-05,Musim Semi,0,1,18,0,3,Hari Kerja,Cerah,0.24,0.2424,0.38,0.1343,3,166,169,Sore,Rabu
111,2011-01-05,Musim Semi,0,1,19,0,3,Hari Kerja,Cerah,0.24,0.2576,0.38,0.1045,5,127,132,Sore,Rabu
112,2011-01-05,Musim Semi,0,1,20,0,3,Hari Kerja,Cerah,0.22,0.2273,0.47,0.1642,7,82,89,Sore,Rabu
113,2011-01-05,Musim Semi,0,1,21,0,3,Hari Kerja,Cerah,0.2,0.197,0.51,0.194,3,40,43,Malam,Rabu
114,2011-01-05,Musim Semi,0,1,22,0,3,Hari Kerja,Cerah,0.18,0.197,0.55,0.1343,1,41,42,Malam,Rabu
115,2011-01-05,Musim Semi,0,1,23,0,3,Hari Kerja,Cerah,0.2,0.2576,0.47,0.0,1,18,19,Malam,Rabu
116,2011-01-06,Musim Semi,0,1,0,0,4,Hari Kerja,Cerah,0.18,0.2424,0.55,0.0,0,11,11,Malam,Kamis
117,2011-01-06,Musim Semi,0,1,1,0,4,Hari Kerja,Cerah,0.16,0.2273,0.64,0.0,0,4,4,Malam,Kamis
118,2011-01-06,Musim Semi,0,1,2,0,4,Hari Kerja,Cerah,0.16,0.2273,0.64,0.0,0,2,2,Malam,Kamis
119,2011-01-06,Musim Semi,0,1,4,0,4,Hari Kerja,Berawan,0.16,0.197,0.64,0.0896,0,1,1,Malam,Kamis
120,2011-01-06,Musim Semi,0,1,5,0,4,Hari Kerja,Berawan,0.14,0.1818,0.69,0.0896,0,4,4,Pagi,Kamis
121,2011-01-06,Musim Semi,0,1,6,0,4,Hari Kerja,Berawan,0.14,0.1667,0.63,0.1045,0,36,36,Pagi,Kamis
122,2011-01-06,Musim Semi,0,1,7,0,4,Hari Kerja,Berawan,0.16,0.2273,0.59,0.0,0,95,95,Pagi,Kamis
123,2011-01-06,Musim Semi,0,1,8,0,4,Hari Kerja,Cerah,0.16,0.2273,0.59,0.0,3,216,219,Pagi,Kamis
124,2011-01-06,Musim Semi,0,1,9,0,4,Hari Kerja,Berawan,0.18,0.2424,0.51,0.0,6,116,122,Pagi,Kamis
125,2011-01-06,Musim Semi,0,1,10,0,4,Hari Kerja,Cerah,0.2,0.2576,0.47,0.0,3,42,45,Pagi,Kamis
126,2011-01-06,Musim Semi,0,1,11,0,4,Hari Kerja,Cerah,0.22,0.2576,0.44,0.0896,2,57,59,Pagi,Kamis
127,2011-01-06,Musim Semi,0,1,12,0,4,Hari Kerja,Cerah,0.26,0.2879,0.35,0.0,6,78,84,Siang,Kamis
128,2011-01-06,Musim Semi,0,1,13,0,4,Hari Kerja,Cerah,0.26,0.2727,0.35,0.1045,12,55,67,Siang,Kamis
129,2011-01-06,Musim Semi,0,1,14,0,4,Hari Kerja,Cerah,0.28,0.2727,0.36,0.1642,11,59,70,Siang,Kamis
130,2011-01-06,Musim Semi,0,1,15,0,4,Hari Kerja,Cerah,0.28,0.2727,0.36,0.0,8,54,62,Siang,Kamis
131,2011-01-06,Musim Semi,0,1,16,0,4,Hari Kerja,Cerah,0.26,0.2576,0.38,0.1642,12,74,86,Siang,Kamis
132,2011-01-06,Musim Semi,0,1,17,0,4,Hari Kerja,Cerah,0.22,0.2273,0.51,0.1642,9,163,172,Sore,Kamis
133,2011-01-06,Musim Semi,0,1,18,0,4,Hari Kerja,Cerah,0.22,0.2273,0.51,0.1343,5,158,163,Sore,Kamis
134,2011-01-06,Musim Semi,0,1,19,0,4,Hari Kerja,Cerah,0.22,0.2576,0.55,0.0896,3,109,112,Sore,Kamis
135,2011-01-06,Musim Semi,0,1,20,0,4,Hari Kerja,Cerah,0.2,0.2121,0.51,0.1642,3,66,69,Sore,Kamis
136,2011-01-06,Musim Semi,0,1,21,0,4,Hari Kerja,Berawan,0.22,0.2121,0.55,0.2239,0,48,48,Malam,Kamis
137,2011-01-06,Musim Semi,0,1,22,0,4,Hari Kerja,Berawan,0.22,0.2121,0.51,0.2836,1,51,52,Malam,Kamis
138,2011-01-06,Musim Semi,0,1,23,0,4,Hari Kerja,Berawan,0.2,0.197,0.59,0.194,4,19,23,Malam,Kamis
139,2011-01-07,Musim Semi,0,1,0,0,5,Hari Kerja,Berawan,0.2,0.197,0.64,0.194,4,13,17,Malam,Jumat
140,2011-01-07,Musim Semi,0,1,1,0,5,Hari Kerja,Berawan,0.2,0.197,0.69,0.2239,2,5,7,Malam,Jumat
141,2011-01-07,Musim Semi,0,1,2,0,5,Hari Kerja,Berawan,0.2,0.197,0.69,0.2239,0,1,1,Malam,Jumat
142,2011-01-07,Musim Semi,0,1,4,0,5,Hari Kerja,Berawan,0.2,0.2121,0.69,0.1343,0,1,1,Malam,Jumat
143,2011-01-07,Musim Semi,0,1,5,0,5,Hari Kerja,Hujan ringan,0.22,0.2727,0.55,0.0,0,5,5,Pagi,Jumat
144,2011-01-07,Musim Semi,0,1,6,0,5,Hari Kerja,Berawan,0.2,0.2576,0.69,0.0,8,26,34,Pagi,Jumat
145,2011-01-07,Musim Semi,0,1,7,0,5,Hari Kerja,Cerah,0.2,0.2121,0.69,0.1343,8,76,84,Pagi,Jumat
146,2011-01-07,Musim Semi,0,1,8,0,5,Hari Kerja,Cerah,0.2,0.197,0.51,0.2537,20,190,210,Pagi,Jumat
147,2011-01-07,Musim Semi,0,1,9,0,5,Hari Kerja,Cerah,0.2,0.1818,0.47,0.2985,9,125,134,Pagi,Jumat
148,2011-01-07,Musim Semi,0,1,10,0,5,Hari Kerja,Cerah,0.22,0.197,0.37,0.3284,16,47,63,Pagi,Jumat
149,2011-01-07,Musim Semi,0,1,11,0,5,Hari Kerja,Berawan,0.2,0.197,0.4,0.2239,19,48,67,Pagi,Jumat
150,2011-01-07,Musim Semi,0,1,12,0,5,Hari Kerja,Berawan,0.2,0.197,0.37,0.2537,9,50,59,Siang,Jumat
151,2011-01-07,Musim Semi,0,1,13,0,5,Hari Kerja,Berawan,0.2,0.1818,0.37,0.2836,9,64,73,Siang,Jumat
152,2011-01-07,Musim Semi,0,1,14,0,5,Hari Kerja,Berawan,0.2,0.197,0.4,0.2537,7,43,50,Siang,Jumat
153,2011-01-07,Musim Semi,0,1,15,0,5,Hari Kerja,Berawan,0.2,0.2121,0.37,0.1642,9,63,72,Siang,Jumat
154,2011-01-07,Musim Semi,0,1,16,0,5,Hari Kerja,Berawan,0.2,0.2121,0.37,0.1642,5,82,87,Siang,Jumat
155,2011-01-07,Musim Semi,0,1,17,0,5,Hari Kerja,Berawan,0.2,0.2576,0.37,0.0,9,178,187,Sore,Jumat
156,2011-01-07,Musim Semi,0,1,18,0,5,Hari Kerja,Cerah,0.2,0.2273,0.4,0.0896,7,116,123,Sore,Jumat
157,2011-01-07,Musim Semi,0,1,19,0,5,Hari Kerja,Cerah,0.16,0.197,0.55,0.0896,3,92,95,Sore,Jumat
158,2011-01-07,Musim Semi,0,1,20,0,5,Hari Kerja,Cerah,0.18,0.2121,0.47,0.1045,1,50,51,Sore,Jumat
159,2011-01-07,Musim Semi,0,1,21,0,5,Hari Kerja,Cerah,0.18,0.197,0.47,0.1343,0,39,39,Malam,Jumat
160,2011-01-07,Musim Semi,0,1,22,0,5,Hari Kerja,Berawan,0.18,0.197,0.43,0.1642,2,34,36,Malam,Jumat
161,2011-01-07,Musim Semi,0,1,23,0,5,Hari Kerja,Berawan,0.18,0.197,0.51,0.1642,1,14,15,Malam,Jumat
162,2011-01-08,Musim Semi,0,1,0,0,6,Hari Libur,Berawan,0.18,0.197,0.51,0.1642,1,24,25,Malam,Sabtu
163,2011-01-08,Musim Semi,0,1,1,0,6,Hari Libur,Berawan,0.18,0.2121,0.55,0.0896,1,15,16,Malam,Sabtu
164,2011-01-08,Musim Semi,0,1,2,0,6,Hari Libur,Berawan,0.18,0.2424,0.55,0.0,3,13,16,Malam,Sabtu
165,2011-01-08,Musim Semi,0,1,3,0,6,Hari Libur,Hujan ringan,0.18,0.197,0.55,0.1642,0,7,7,Malam,Sabtu
166,2011-01-08,Musim Semi,0,1,4,0,6,Hari Libur,Hujan ringan,0.18,0.197,0.55,0.1642,0,1,1,Malam,Sabtu
167,2011-01-08,Musim Semi,0,1,5,0,6,Hari Libur,Berawan,0.16,0.1667,0.74,0.1642,0,5,5,Pagi,Sabtu
168,2011-01-08,Musim Semi,0,1,6,0,6,Hari Libur,Berawan,0.16,0.1667,0.74,0.1642,0,2,2,Pagi,Sabtu
169,2011-01-08,Musim Semi,0,1,7,0,6,Hari Libur,Berawan,0.16,0.1818,0.74,0.1045,1,8,9,Pagi,Sabtu
170,2011-01-08,Musim Semi,0,1,8,0,6,Hari Libur,Hujan ringan,0.16,0.1818,0.93,0.1045,0,15,15,Pagi,Sabtu
171,2011-01-08,Musim Semi,0,1,9,0,6,Hari Libur,Hujan ringan,0.16,0.1818,0.93,0.1045,0,20,20,Pagi,Sabtu
172,2011-01-08,Musim Semi,0,1,10,0,6,Hari Libur,Berawan,0.18,0.197,0.8,0.1642,5,56,61,Pagi,Sabtu
173,2011-01-08,Musim Semi,0,1,11,0,6,Hari Libur,Berawan,0.2,0.1818,0.69,0.3881,2,60,62,Pagi,Sabtu
174,2011-01-08,Musim Semi,0,1,12,0,6,Hari Libur,Berawan,0.2,0.1818,0.59,0.3582,8,90,98,Siang,Sabtu
175,2011-01-08,Musim Semi,0,1,13,0,6,Hari Libur,Cerah,0.2,0.1818,0.44,0.3284,7,95,102,Siang,Sabtu
176,2011-01-08,Musim Semi,0,1,14,0,6,Hari Libur,Cerah,0.2,0.1667,0.32,0.4925,12,83,95,Siang,Sabtu
177,2011-01-08,Musim Semi,0,1,15,0,6,Hari Libur,Cerah,0.2,0.1667,0.32,0.4478,5,69,74,Siang,Sabtu
178,2011-01-08,Musim Semi,0,1,16,0,6,Hari Libur,Cerah,0.18,0.1364,0.29,0.4478,8,68,76,Siang,Sabtu
179,2011-01-08,Musim Semi,0,1,17,0,6,Hari Libur,Cerah,0.16,0.1212,0.37,0.5522,5,64,69,Sore,Sabtu
180,2011-01-08,Musim Semi,0,1,18,0,6,Hari Libur,Cerah,0.14,0.1212,0.39,0.2985,3,52,55,Sore,Sabtu
181,2011-01-08,Musim Semi,0,1,19,0,6,Hari Libur,Cerah,0.14,0.1212,0.36,0.2537,4,26,30,Sore,Sabtu
182,2011-01-08,Musim Semi,0,1,20,0,6,Hari Libur,Cerah,0.12,0.1212,0.36,0.2537,0,28,28,Sore,Sabtu
183,2011-01-08,Musim Semi,0,1,21,0,6,Hari Libur,Cerah,0.12,0.1061,0.39,0.3582,2,35,37,Malam,Sabtu
184,2011-01-08,Musim Semi,0,1,22,0,6,Hari Libur,Cerah,0.12,0.1061,0.36,0.3881,1,33,34,Malam,Sabtu
185,2011-01-08,Musim Semi,0,1,23,0,6,Hari Libur,Cerah,0.1,0.0606,0.39,0.4478,0,22,22,Malam,Sabtu
186,2011-01-09,Musim Semi,0,1,0,0,0,Hari Libur,Cerah,0.1,0.0758,0.42,0.3881,1,24,25,Malam,Minggu
187,2011-01-09,Musim Semi,0,1,1,0,0,Hari Libur,Cerah,0.1,0.0606,0.42,0.4627,0,12,12,Malam,Minggu
188,2011-01-09,Musim Semi,0,1,2,0,0,Hari Libur,Cerah,0.1,0.0606,0.46,0.4627,0,11,11,Malam,Minggu
189,2011-01-09,Musim Semi,0,1,3,0,0,Hari Libur,Cerah,0.1,0.0758,0.46,0.4179,0,4,4,Malam,Minggu
190,2011-01-09,Musim Semi,0,1,4,0,0,Hari Libur,Cerah,0.08,0.0909,0.53,0.194,0,1,1,Malam,Minggu
191,2011-01-09,Musim Semi,0,1,5,0,0,Hari Libur,Cerah,0.08,0.0909,0.53,0.194,0,1,1,Pagi,Minggu
192,2011-01-09,Musim Semi,0,1,6,0,0,Hari Libur,Cerah,0.1,0.0909,0.49,0.2836,0,1,1,Pagi,Minggu
